Date,Open,High,Low,Close,Adj Close,Volume
2023-12-11,474.910004,494.040009,458.299988,488.899994,488.877075,220061700
2023-12-18,494.000000,504.329987,480.980011,488.299988,488.277069,182748900
2023-12-25,489.679993,499.970001,487.510010,495.220001,495.196777,111312500
2024-01-01,492.440002,495.470001,473.200012,490.970001,490.946960,145325300
2024-01-08,495.119995,553.460022,494.790009,547.099976,547.074341,289864400
2024-01-15,550.179993,595.000000,547.400024,594.909973,594.882080,195772700
2024-01-22,600.489990,628.489990,585.849976,610.309998,610.281372,218096600
2024-01-29,612.320007,666.000000,607.000000,661.599976,661.568970,205818900
2024-02-05,682.250000,721.849976,663.000000,721.330017,721.296204,270982300
2024-02-12,726.000000,746.109985,696.200012,726.130005,726.095947,263524700
2024-02-19,719.469971,823.940002,662.479980,788.169983,788.132996,308961900
2024-02-26,797.000000,823.000000,771.250000,822.789978,822.751404,227285400
2024-03-04,841.299988,974.000000,834.169983,875.280029,875.238953,345989000
2024-03-11,864.289978,919.599976,841.659973,878.369995,878.369995,322466300
2024-03-18,903.880005,947.780029,850.099976,942.890015,942.890015,288579700
2024-03-25,939.409973,967.659973,891.229980,903.559998,903.559998,208706300
2024-04-01,902.989990,922.250000,858.799988,880.080017,880.080017,208939400
2024-04-08,887.000000,907.390015,830.219971,881.859985,881.859985,207522200
2024-04-15,890.979980,906.130005,756.059998,762.000000,762.000000,262809500
2024-04-22,781.039978,827.690002,764.000000,824.229980,824.229980,103490000
